Breed	Age	Gender	Weight	ExpectedWeight	PctOfExpected	Label	IsolationForest_Score	IsolationForest_Flag	
Brahman Cross	9	Female	110.9	103.4	107.3	Normal	0.0396	Normal	
Local Zebu	19	Female	120.6	122.6	98.4	Normal	0.1352	Normal	
Local Zebu	60	Male	364.5	354.8	102.7	Normal	0.0734	Normal	
Local Zebu	9	Female	96.7	73.9	130.9	Overweight	0.1039	Normal	
Sahiwal	59	Male	439	442.6	99.2	Normal	0.0317	Normal	
Holstein Cross	6	Female	87.3	90.8	96.1	Normal	0.0356	Normal	
Red Chittagong	41	Male	259.7	236	110	Normal	0.0795	Normal	
Red Chittagong	17	Female	116.9	105.4	110.9	Normal	0.1032	Normal	
Red Chittagong	39	Female	198.4	205.4	96.6	Normal	0.1093	Normal	
Pabna	54	Male	352.2	344.1	102.4	Normal	0.07	Normal	
Brahman Cross	52	Female	389.9	396.9	98.2	Normal	0.06	Normal	
Local Zebu	35	Female	193.6	200.6	96.5	Normal	0.139	Normal	
Holstein Cross	18	Female	184.2	180.5	102	Normal	0.0792	Normal	
Holstein Cross	26	Female	211.7	240.4	88.1	Normal	0.0927	Normal	
Local Zebu	15	Female	77.3	103.1	75	Underweight	0.104	Normal	
Sahiwal	26	Female	190.1	198.5	95.8	Normal	0.1058	Normal	
Sindhi Cross	34	Female	219.7	234.9	93.5	Normal	0.0666	Normal	
Sahiwal	35	Female	258.8	254.1	101.8	Normal	0.1015	Normal	
Red Chittagong	14	Male	87.2	100.9	86.4	Normal	0.0341	Normal	
Holstein Cross	46	Male	407.7	428.8	95.1	Normal	0.0355	Normal	
Sindhi Cross	64	Male	473.4	451.4	104.9	Normal	-0.0169	Flagged - Unusual, Needs Review	
Sahiwal	39	Female	275.4	278.8	98.8	Normal	0.0991	Normal	
Brahman Cross	52	Male	437.6	436.6	100.2	Normal	0.0142	Normal	
Pabna	17	Female	99	120.4	82.2	Normal	0.0968	Normal	
Local Zebu	26	Female	148.6	156.8	94.8	Normal	0.139	Normal	
Local Zebu	54	Female	294.9	293.2	100.6	Normal	0.1382	Normal	
Local Zebu	7	Female	46.9	64.1	73.2	Underweight	0.0313	Normal	
Sindhi Cross	40	Female	275.6	270	102.1	Normal	0.0676	Normal	
Red Chittagong	26	Female	137.3	146.3	93.8	Normal	0.1017	Normal	
Holstein Cross	39	Female	333.1	337.5	98.7	Normal	0.0747	Normal	
Pabna	19	Female	121.8	130.8	93.1	Normal	0.1146	Normal	
Brahman Cross	31	Male	306.7	278.9	110	Normal	0.0155	Normal	
Pabna	6	Female	63	63.2	99.7	Normal	0.0323	Normal	
Local Zebu	52	Female	267.6	283.5	94.4	Normal	0.1408	Normal	
Red Chittagong	13	Male	108.2	95.9	112.8	Normal	0.0484	Normal	
Local Zebu	68	Female	343.2	361.5	94.9	Normal	0.102	Normal	
Pabna	22	Male	164.2	161	102	Normal	0.066	Normal	
Pabna	39	Female	205.4	234.8	87.5	Normal	0.119	Normal	
Sindhi Cross	31	Female	197.4	217.4	90.8	Normal	0.0648	Normal	
Brahman Cross	53	Female	406.7	403.7	100.7	Normal	0.0551	Normal	
Local Zebu	34	Male	327.6	215.3	152.2	Overweight	0.0634	Normal	
Local Zebu	13	Male	105.3	102.7	102.5	Normal	0.0646	Normal	
Holstein Cross	15	Female	156.4	158.1	98.9	Normal	0.0861	Normal	
Pabna	22	Female	141.9	146.4	96.9	Normal	0.117	Normal	
Brahman Cross	37	Female	272.3	294.5	92.5	Normal	0.0742	Normal	
Local Zebu	18	Female	107	117.8	90.8	Normal	0.1275	Normal	
Red Chittagong	12	Female	75.7	82.6	91.6	Normal	0.0699	Normal	
Local Zebu	57	Female	323.7	307.9	105.1	Normal	0.1354	Normal	
Local Zebu	30	Male	199	193.9	102.6	Normal	0.0857	Normal	
Red Chittagong	41	Female	188.1	214.6	87.7	Normal	0.107	Normal	
Local Zebu	18	Male	134.4	129.5	103.8	Normal	0.082	Normal	
Holstein Cross	17	Female	167.3	173.1	96.6	Normal	0.0858	Normal	
Local Zebu	68	Female	351.3	361.5	97.2	Normal	0.1026	Normal	
Sindhi Cross	27	Female	203.1	194	104.7	Normal	0.0629	Normal	
Local Zebu	64	Male	391.7	376.2	104.1	Normal	0.0595	Normal	
Sahiwal	68	Male	517.7	503.7	102.8	Normal	-0.0268	Flagged - Unusual, Needs Review	
Sindhi Cross	13	Female	141.9	112	126.7	Overweight	0.0381	Normal	
Holstein Cross	26	Male	259.7	264.4	98.2	Normal	0.0389	Normal	
Holstein Cross	14	Female	155.6	150.6	103.3	Normal	0.0806	Normal	
Local Zebu	21	Female	147	132.4	111	Normal	0.1439	Normal	
Brahman Cross	11	Female	109.9	117.1	93.9	Normal	0.0503	Normal	
Brahman Cross	72	Male	584	586.7	99.5	Normal	-0.071	Flagged - Potential Sickness	
Brahman Cross	46	Male	374.9	391.5	95.8	Normal	0.0287	Normal	
Brahman Cross	44	Female	324.4	342.3	94.8	Normal	0.0745	Normal	
Sindhi Cross	7	Female	89.1	77	115.7	Normal	0.0012	Normal	
Sindhi Cross	15	Female	144.1	123.8	116.4	Normal	0.0472	Normal	
Local Zebu	50	Female	272.7	273.8	99.6	Normal	0.1392	Normal	
Red Chittagong	26	Female	161.4	146.3	110.3	Normal	0.1175	Normal	
Red Chittagong	7	Female	65.3	59.8	109.2	Normal	0.041	Normal	
Sindhi Cross	19	Female	137.5	147.2	93.4	Normal	0.0538	Normal	
Local Zebu	19	Female	128	122.6	104.4	Normal	0.1389	Normal	
Red Chittagong	32	Female	196.7	173.6	113.3	Normal	0.1216	Normal	
Brahman Cross	39	Female	307.6	308.2	99.8	Normal	0.0706	Normal	
Sindhi Cross	12	Male	140.3	116.8	120.1	Overweight	0.0009	Normal	
Local Zebu	6	Male	25.9	65.2	39.7	Underweight	-0.0246	Flagged - Potential Sickness	
Sindhi Cross	26	Female	200.4	188.1	106.5	Normal	0.0636	Normal	
Red Chittagong	7	Male	67.1	65.8	102	Normal	0.0023	Normal	
Sahiwal	25	Female	187.9	192.4	97.7	Normal	0.1079	Normal	
Brahman Cross	24	Female	138.4	205.8	67.2	Underweight	0.0658	Normal	
Sindhi Cross	11	Female	70.5	100.4	70.2	Underweight	0.0057	Normal	
Local Zebu	19	Female	119.3	122.6	97.3	Normal	0.1348	Normal	
Holstein Cross	25	Female	238.2	232.9	102.3	Normal	0.0841	Normal	
Local Zebu	28	Female	261	166.5	156.8	Overweight	0.1136	Normal	
Sindhi Cross	37	Male	269.9	277.7	97.2	Normal	0.0234	Normal	
Local Zebu	10	Female	66.6	78.8	84.5	Normal	0.0832	Normal	
Holstein Cross	64	Male	569.3	576.8	98.7	Normal	-0.0341	Flagged - Potential Sickness	
Holstein Cross	34	Male	343.9	330.2	104.1	Normal	0.0307	Normal	
Red Chittagong	14	Female	96.6	91.7	105.3	Normal	0.0894	Normal	
Brahman Cross	57	Female	423.1	431	98.2	Normal	0.05	Normal	
Red Chittagong	9	Male	83.5	75.8	110.2	Normal	0.0283	Normal	
Local Zebu	39	Male	243.6	242.1	100.6	Normal	0.0934	Normal	
Red Chittagong	46	Female	251.8	237.3	106.1	Normal	0.1217	Normal	
Local Zebu	30	Male	183.3	193.9	94.5	Normal	0.0841	Normal	
Local Zebu	31	Female	176.2	181.1	97.3	Normal	0.1423	Normal	
Brahman Cross	48	Female	363.7	369.6	98.4	Normal	0.0725	Normal	
Local Zebu	44	Female	222.5	244.5	91	Normal	0.1336	Normal	
Red Chittagong	43	Female	228.1	223.6	102	Normal	0.1244	Normal	
Brahman Cross	54	Female	414.5	410.6	100.9	Normal	0.0521	Normal	
Brahman Cross	44	Female	342.4	342.3	100	Normal	0.0715	Normal	
Red Chittagong	32	Female	170.1	173.6	98	Normal	0.1167	Normal	
Brahman Cross	65	Female	464.4	485.6	95.6	Normal	0.0269	Normal	
Pabna	27	Female	166.1	172.4	96.3	Normal	0.1204	Normal	
Brahman Cross	48	Male	401.4	406.6	98.7	Normal	0.0205	Normal	
Local Zebu	45	Male	262.3	274.3	95.6	Normal	0.0971	Normal	
Local Zebu	37	Female	208	210.4	98.9	Normal	0.1402	Normal	
Sahiwal	64	Female	439.3	433.2	101.4	Normal	0.0619	Normal	
Local Zebu	55	Female	326.4	298.1	109.5	Normal	0.1336	Normal	
Brahman Cross	6	Female	85.6	83	103.1	Normal	0.0099	Normal	
Sindhi Cross	60	Male	429.6	425.7	100.9	Normal	-0.0041	Flagged - Unusual, Needs Review	
Sahiwal	65	Male	482.2	483.3	99.8	Normal	-0.0005	Flagged - Potential Sickness	
Holstein Cross	64	Male	548.1	576.8	95	Normal	-0.023	Flagged - Potential Sickness	
Pabna	46	Female	270.8	271.2	99.9	Normal	0.1266	Normal	
Brahman Cross	70	Female	520.7	519.8	100.2	Normal	-0.0046	Flagged - Possible Pregnancy or Overweight	
Pabna	26	Female	204.1	167.2	122.1	Overweight	0.1189	Normal	
Local Zebu	37	Female	207.5	210.4	98.6	Normal	0.1402	Normal	
Sahiwal	68	Female	462.4	457.9	101	Normal	0.0378	Normal	
Local Zebu	42	Male	257.7	258.2	99.8	Normal	0.098	Normal	
Sindhi Cross	16	Male	125	142.6	87.7	Normal	0.0052	Normal	
Sahiwal	33	Male	283.1	266	106.4	Normal	0.0485	Normal	
Pabna	59	Male	384	372.7	103	Normal	0.0623	Normal	
Red Chittagong	8	Female	76.3	64.4	118.5	Normal	0.0623	Normal	
Red Chittagong	6	Female	41.7	55.3	75.4	Underweight	-0.0088	Flagged - Potential Sickness	
Red Chittagong	59	Female	317.5	296.4	107.1	Normal	0.1073	Normal	
Sahiwal	34	Female	226.9	248	91.5	Normal	0.1068	Normal	
Pabna	55	Male	358.6	349.8	102.5	Normal	0.072	Normal	
Red Chittagong	27	Female	183.7	150.8	121.8	Overweight	0.1171	Normal	
Sindhi Cross	9	Female	73.8	88.6	83.3	Normal	0.0027	Normal	
Brahman Cross	16	Female	142.7	151.2	94.4	Normal	0.0688	Normal	
Pabna	12	Male	105.3	103.8	101.4	Normal	0.0399	Normal	
Pabna	49	Female	279.2	286.8	97.4	Normal	0.1216	Normal	
Sahiwal	59	Male	419.3	442.6	94.7	Normal	0.0382	Normal	
Local Zebu	12	Female	89.5	88.5	101.1	Normal	0.1172	Normal	
Brahman Cross	11	Female	101.1	117.1	86.3	Normal	0.0455	Normal	
Local Zebu	8	Female	76.1	69	110.3	Normal	0.0928	Normal	
Pabna	20	Female	122.2	136	89.9	Normal	0.1116	Normal	
Sahiwal	53	Male	425.1	401.8	105.8	Normal	0.0309	Normal	
Sahiwal	20	Female	149.8	161.5	92.8	Normal	0.0926	Normal	
Red Chittagong	9	Female	64.1	68.9	93	Normal	0.0466	Normal	
Sindhi Cross	54	Female	364.1	351.9	103.5	Normal	0.0531	Normal	
Local Zebu	37	Male	212.9	231.4	92	Normal	0.0873	Normal	
Holstein Cross	21	Female	206.4	203	101.7	Normal	0.0869	Normal	
Local Zebu	60	Female	342.1	322.5	106.1	Normal	0.1292	Normal	
Brahman Cross	7	Female	65.7	89.8	73.2	Underweight	0.0055	Normal	
Local Zebu	52	Female	286.3	283.5	101	Normal	0.1423	Normal	
Sahiwal	61	Male	460	456.1	100.9	Normal	0.0198	Normal	
Brahman Cross	67	Female	511	499.3	102.3	Normal	0.0113	Normal	
Brahman Cross	47	Female	344.2	362.8	94.9	Normal	0.0758	Normal	
Local Zebu	63	Male	351	370.8	94.7	Normal	0.0657	Normal	
Brahman Cross	54	Male	459.4	451.6	101.7	Normal	0.0076	Normal	
Red Chittagong	68	Male	375.6	371.1	101.2	Normal	0.0279	Normal	
Red Chittagong	41	Female	218.3	214.6	101.7	Normal	0.1192	Normal	
Local Zebu	36	Female	210.7	205.5	102.5	Normal	0.141	Normal	
Sahiwal	66	Female	435.3	445.6	97.7	Normal	0.057	Normal	
Sahiwal	17	Male	160.8	157.3	102.2	Normal	0.0484	Normal	
Local Zebu	53	Female	292.8	288.4	101.5	Normal	0.1413	Normal	
Red Chittagong	48	Female	235.7	246.4	95.7	Normal	0.1152	Normal	
